Stratum,Penetration,Altitude,SpeciesCode,North,East
14060215,5,70,saltru,5481600,2316200
11029967,1,24,galbre,5922286,2602123
2005565,2,20,gobcot,6482100,2653300
3012541,78,11,ameneb,6403077,2700791
NA,NA,NA,neohel,6659405,2593684
1012404,150,110,angaus,6634200,2619700
2005826,12,50,angaus,6478294,2645947
5000405,0,200,galfas,6382300,2985600
6007479,130,320,anguil,6209400,2620000
10009624,4,5,galfas,5999182,2538116
3006798,21,4,galmac,6434300,2673200
3008641,60,15,gamaff,6425125,2703715
12030566,44,93,gobiom,5841649,2382894
12050593,11,220,galbre,5700700,2203200
14016508,245,598,nospec,5597138,2226323
13068215,12,66,galvul,5612700,2356200
14058455,159,371,galaxi,5486507,2217823
14061357,30,15,gobcot,5476924,2298515
13522041,48,171,nospec,5597955,2322808
3009891,83,220,parane,6420300,2768200
10013752,53,130,angdie,5983300,2492600
10000647,8,40,galfas,6057800,2476400
14067780,91,98,parane,5448400,2226300
3016877,113,18,angaus,6381903,2710288
4017064,56,95,oncmyk,6321437,2844988
3006500,58,20,parane,6435771,2701357
13502912,214,735,hyrmen,5716249,2312965
3000204,2,20,gobhut,6514500,2731800
6003071,3,40,saltru,6235633,2603031
12007951,0,3,gobcot,5949600,2411700
13065059,1,2,angdie,5655480,2376218
13030378,16,55,chefos,5793200,2489600
7044456,157,160,angdie,6070000,2734700
10012272,2,40,galaxi,5987842,2530514
3017996,134,30,neodiv,6375700,2706500
NA,NA,NA,galgra,6600293,2567291
14038062,167,150,parcur,5547400,2230200
6005924,16,390,gobhut,6218628,2590914
10000269,1,20,gobhub,6066300,2475700
8022294,108,580,angdie,6191400,2787400
3015549,12,70,galfas,6388477,2672354
9015713,14,50,angdie,5982500,2671400
8017582,97,310,saltru,6217944,2823985
15033266,120,310,angaus,5489300,2129400
14060926,135,270,nospec,5480200,2228400
14063996,12,1,gobcot,5465500,2288500
10000145,0,26,galmac,6072256,2485471
13043881,88,286,gobbre,5749799,2424892
14062755,41,402,galeld,5473400,2273400
2005114,1,10,galfas,6488500,2691100
15037444,66,150,gobbre,5477424,2094008
13017568,17,54,anguil,5834643,2530667
12007905,117,360,gobbre,5950300,2454800
0,9,20,gobbre,5644500,2366400
13008809,11,120,galmac,5869100,2552000
14029106,25,75,galvul,5566307,2334059
10000620,2,15,angdie,6057665,2480488
12033525,3,3,galmac,5828400,2343600
1002133,1,15,angdie,6693400,2560500
3023515,171,50,geoaus,6347700,2699700
14053286,83,255,nospec,5504068,2292949
13518496,115,470,gobbre,5623376,2278255
14023763,192,620,galano,5577471,2297470
14028492,21,58,galvul,5567296,2335955
4003752,9,10,retret,6368000,2813500
0,30,30,scaery,5746500,2474300
3000330,3,10,gobhut,6510400,2733500
2003834,1,28,galfas,6503788,2664250
3012541,78,11,angdie,6404718,2700638
14032871,11,12,tintin,5558400,2339000
14059377,65,340,angdie,5485200,2286100
0,154,110,parane,6635000,2628900
9007483,12,256,parane,6019510,2674531
0,136,450,galcob,5653902,2279277
2000696,0,5,angaus,6548400,2725900
3018329,129,30,angdie,6372400,2718000
13046908,82,210,nospec,5740000,2422300
10009830,11,30,parane,5997521,2510872
1010353,34,210,nospec,6642645,2588844
2003307,1,30,galfas,6509776,2673400
7045468,0,1,perflu,6065700,2694800
13516746,122,427,galcob,5632488,2274044
12051011,2,5,galarg,5698400,2190500
2002581,6,70,oncmyk,6519800,2621800
2004039,1,40,gobhut,6500683,2664517
3032527,218,172,gamaff,6311741,2753045
11023163,88,380,saltru,5947500,2526400
15040092,83,200,galsps,5472200,2131700
3043283,6,10,galmac,6276700,2653500
13033246,1,2,gobbre,5784100,2492800
3012541,78,11,gamaff,6402750,2700840
0,3,50,parane,5795300,2312400
3044820,333,479,saltru,6270642,2790744
15058143,6,2,angdie,5421000,2125400
4001685,2,10,aldfor,6379884,2787148
12006693,12,189,galpos,5958012,2426298
8019520,3,40,angaus,6207329,2853231
4012599,68,285,oncmyk,6335300,2793300
13009468,154,630,parcur,5867100,2521700
2004450,5,40,angaus,6496500,2664000
14069590,16,26,gobcot,5439080,2265920
10008716,0,15,angaus,6003388,2545585
5012981,9,5,galmac,6273600,2942300
9013843,6,155,perflu,5988911,2656599
3018032,122,37,angaus,6375809,2710445
3010516,62,37,mugcep,6416925,2695557
12045374,25,70,angdie,5742400,2259500
3001019,0,11,galfas,6490160,2756245
1002903,4,26,gobcot,6684922,2528746
10013128,6,16,gobcot,5985304,2519864
14037021,12,104,saltru,5549586,2334353
15016991,208,1230,nospec,5530600,2206800
6010528,19,175,angdie,6192500,2611500
12012868,31,30,chefos,5928000,2409700
13516499,128,420,parcur,5633616,2268759
7017584,168,740,parane,6194000,2732500
13015209,133,520,onctsh,5843400,2454500
1010353,34,210,neohel,6642821,2588777
3014820,99,21,angaus,6392953,2709878
14062325,41,453,galpul,5475170,2276930
13506959,189,840,parcur,5688000,2315400
2005662,8,15,anguil,6480700,2644600
1006736,2,0,angaus,6661800,2559400
1016272,16,141,galfas,6617084,2562985
9012466,5,20,gobcot,5996983,2671869
2005413,0,1,angdie,6485100,2655700
12032845,68,130,anguil,5831600,2386800
6011988,59,90,retret,6186208,2652663
13508097,184,725,galvul,5679900,2313700
15048988,51,74,angdie,5449400,2121300
13507050,189,832,galvul,5687471,2315147
13521199,118,400,nospec,5604200,2289400
7036504,88,70,angdie,6105800,2725000
12034181,16,80,angdie,5824300,2353400
12030872,3,40,galbre,5844100,2356700
3015972,109,39,gamaff,6385874,2708669
13017605,141,630,parcur,5834465,2428997
NA,NA,NA,anguil,5803378,2322634
13011079,0,23,anguil,5859954,2554293
3042911,33,10,gobhut,6278900,2665700
3016083,105,15,neodiv,6385500,2700300
14049406,132,150,angdie,5517600,2223600
13062406,85,635,parane,5677407,2324128
7016698,180,880,oncmyk,6196795,2739941
2004186,1,29,parcur,6499671,2663232
0,1,5,galmac,5423400,2064600
13047869,16,8,gobbre,5737012,2477225
6010502,2,20,angdie,6194100,2584700
14030148,15,30,gobhub,5562400,2338900
14028492,21,58,saltru,5567454,2336238
1020188,7,78,galgra,6598619,2568986
14028602,204,513,angdie,5567052,2270372
2003518,7,15,angdie,6507100,2642300
